date,symbol,open,high,low,close
2020-04-11,BTC,7321.8157461222,7325.3247779259,6752.5936636938,6866.3981890103
2020-04-12,BTC,6872.1372659497,6949.7888750096,6777.8896942429,6873.848495157
2020-04-13,BTC,6873.8485549066,7201.9903551464,6797.7790628043,7043.4388635241
2020-04-14,BTC,7043.4388929919,7050.7710252237,6600.7714938355,6889.8637723481
2020-04-15,BTC,6889.8639781647,6991.3263967632,6772.3221319856,6887.554907833
2020-04-16,BTC,6887.5488979254,6942.9070804085,6701.0211163339,6718.7999502834
2020-04-17,BTC,6628.9752825049,7178.7658941716,6486.5313078652,7166.5828171387
2020-04-18,BTC,7162.5272306278,7200.3172088039,6996.1491089494,7065.0823890422
2020-04-19,BTC,7065.0660857569,7301.814370888,7029.0159611769,7277.1405855631
2020-04-20,BTC,7277.1406537464,7292.862985328,7066.9471850573,7185.87030343
2020-04-21,BTC,7185.8708309939,7221.9159066607,6764.4306986679,6856.1464345446
2020-04-22,BTC,6856.1464256671,6954.0051366353,6782.2393714434,6904.4757726979
2020-04-23,BTC,6904.4762213559,7165.5200044019,6831.9479064183,7118.3887479246
2020-04-24,BTC,7118.3889150784,7725.6716992521,7037.5548449005,7562.0328317455
2020-04-25,BTC,7556.0192600486,7608.3111430331,7407.2669223098,7497.8617638281
2020-04-26,BTC,7497.8598814457,7702.0189800703,7445.6858982455,7542.3034007032
2020-04-27,BTC,7542.3031009324,7707.5942705341,7503.7701429692,7624.8537859232
2020-04-28,BTC,7624.8543379743,7798.2766558804,7621.4870822181,7776.5075425684
2020-04-29,BTC,7788.5742294836,7793.6360176131,7677.1787739545,7761.7587840758
2020-04-30,BTC,7761.7586189955,8973.0792774804,7725.5426535376,8773.1064879583
2020-05-01,BTC,8768.0471796589,9469.0784232378,8415.4747401737,8767.6726233679
2020-05-02,BTC,8767.6721431836,9073.817530476,8593.380362901,8853.7744840141
2020-05-03,BTC,8850.7887561659,9037.3419273063,8780.0379253879,8963.057557797
2020-05-04,BTC,9002.3969164711,9223.3855340319,8747.4334188812,8904.713816537
2020-05-05,BTC,8904.5593937405,8968.5322344028,8539.5111073234,8887.5058925872
2020-05-06,BTC,8887.5074730474,9112.8661506733,8784.0995901784,8978.2835871237
2020-05-07,BTC,9032.1832265712,9392.6354471211,8927.7770678731,9371.6842727917
